thesaurus,keyword,type
LTER controlled vocabulary,weather,theme
LTER controlled vocabulary,urban,theme
LTER controlled vocabulary,temperature,theme
LTER controlled vocabulary,solar radiation,theme
LTER controlled vocabulary,pyranometers,theme
LTER controlled vocabulary,precipitation,theme
LTER controlled vocabulary,relative humidity,theme
LTER controlled vocabulary,wind,theme
LTER controlled vocabulary,wind direction,theme
LTER controlled vocabulary,wind speed,theme
LTER controlled vocabulary,climate,theme
LTER core areas,climate and heat,theme
Creator Defined Keyword Set,lost dutchman state park,place
Creator Defined Keyword Set,papago park,place
Creator Defined Keyword Set,desert botanical garden,place
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,arid land,theme
