date,site,sensor,serial_number,calibrated,action,note
2016-05-17,LDP,Vaisala HMP45C,A5250001,2015-05-13,removed,NA
2016-05-17,LDP,Vaisala HMP45C,A2730014,2016-05-03,installed,NA
2016-06-21,DBG,Vaisala HMP45C,A2640045,2015-05-13,removed,NA
2016-06-21,DBG,Vaisala HMP45C,A5250001,2016-05-26,installed,NA
2017-04-27,DBG,Vaisala HMP45C,A5250001,2016-05-26,removed,NA
2017-04-27,DBG,Vaisala HMP45C,A2640045,2017-04-12,installed,NA
2017-04-27,DBG,Apogee CS300,20336,2015-05-15,removed,NA
2017-04-27,DBG,Apogee CS300,3076,2017-04-12,installed,NA
2017-05-15,LDP,Vaisala HMP45C,A2730014,2016-05-03,removed,NA
2017-05-15,LDP,Vaisala HMP45C,A5250001,2017-05-04,installed,NA
2017-05-15,LDP,Apogee CS300,3356,2015-05-15,removed,NA
2017-05-15,LDP,Apogee CS300,20336,2017-05-03,installed,NA
2018-05-02,LDP,Vaisala HMP45C,A5250001,2017-05-04,removed,NA
2018-05-02,LDP,Vaisala HMP45C,A2730014,2018-04-20,installed,NA
2018-06-01,DBG,Vaisala HMP45C,A2640045,2017-04-12,removed,NA
2018-06-01,DBG,Vaisala HMP45C,A5250001,2018-05-08,installed,NA
2019-05-13,DBG,Vaisala HMP45C,A5250001,2018-05-08,removed,NA
2019-05-13,DBG,Vaisala HMP45C,A2640045,2019-04-26,installed,NA
2019-05-30,DBG,Apogee CS300,3076,2017-04-12,removed,NA
2019-05-30,DBG,Apogee CS301,66723,NA,installed,new sensor
2019-06-26,LDP,Vaisala HMP45C,A2730014,2018-04-20,removed,NA
2019-06-26,LDP,Vaisala HMP45C,A5250001,2019-06-12,installed,NA
2019-06-26,LDP,Apogee CS300,20336,2017-05-03,removed,NA
2019-06-26,LDP,Apogee CS300,3076,2019-06-01,installed,NA
2020-06-11,LDP,Vaisala HMP45C,A5250001,2019-06-12,removed,NA
2020-06-11,LDP,Vaisala HMP45C,A2730014,2020-05-28,installed,NA
2020-06-25,DBG,Vaisala HMP45C,A2640045,2019-04-26,removed,NA
2020-06-25,DBG,Vaisala HMP45C,A5250001,2020-06-19,installed,NA
2021-05-05,DBG,Apogee CS301,66723,NA,removed,new sensor
2021-05-05,DBG,Apogee CS300,20336,2021-04-21,installed,NA
2021-05-05,DBG,Vaisala HMP45C,A5250001,2020-06-19,removed,NA
2021-05-05,DBG,Vaisala HMP45C,A2640045,2021-04-16,installed,NA
